"Name","MODEL_MAP_FLAG","ATTRACTIVE_FIELD","DAMPING","MAXITER","UPDATES","ACC_VarState_training","L1_Prob_val","L1_LogScore_training","RMSE_LogScore_training","ACC_GraphState_training","RMSE_Prob_val","CrossEntropy_Prob_val","ACC_VarState_val","RMSE_DiffLog_val","RMSE_LogScore_val","RMSE_Prob_training","CrossEntropy_Prob_training","L1_DiffLog_val","L1_LogScore_val","RMSE_DiffLog_training","L1_Prob_training","ACC_GraphState_val","L1_DiffLog_training"
"fallen-haze-347","true","true","0.7","10000","SEQRND","0.8178","0.3570592460155487","2.657625034834084","7.5576559024924626","0.72","0.38230313041983327","Infinity","0.8884","10.518432750822068","4.4811093137061455","0.38996085162557","Infinity","8.525892341934144","1.5637439324069111","9.506126146906809","0.36837418314665554","0.78","7.488089032004587"
"neat-surf-377","true","true","0.99","10000","SEQRND","0.8334","0.35750081349015234","2.128059435475199","6.509806302209365","0.74","0.38308893673175815","Infinity","0.86","10.399076432755344","7.293210873887491","0.389361934765959","Infinity","8.424788204348832","2.370568553005887","9.576666959551083","0.3678415564730764","0.76","7.543099010016955"
"wandering-microwave-331","true","true","0.9","10000","SEQRND","0.8258","0.3575008136153221","1.88988636594656","5.909563673907906","0.74","0.38308893681057665","Infinity","0.86","10.399077590596892","7.293210873887491","0.39043870390443913","Infinity","8.424789073352516","2.370568553005887","9.60811921923666","0.368765820376575","0.76","7.5638661839833485"
"swift-salad-405","true","true","0.99","10000","PARALL","0.8334","0.35750081349015234","2.128059435475199","6.509806302209365","0.74","0.38308893673175815","Infinity","0.86","10.399076418822666","7.293210873887491","0.389361934765959","Infinity","8.424788196600229","2.370568553005887","9.57666694660528","0.3678415564730764","0.76","7.54309900224451"
"true-frog-285","true","true","0.9","10000","PARALL","0.8334","0.3575994240492582","2.128059435475199","6.509806302209365","0.74","0.3834574381112782","Infinity","0.8536","10.38021402444279","7.598097872164733","0.3893619348177534","Infinity","8.392918035368622","2.671904459396198","9.576668098155894","0.3678415565058589","0.74","7.543099755456112"
"lemon-smoke-180","true","true","0.7","10000","PARALL","0.8334","0.35947245823442936","2.128059435475199","6.509806302209365","0.74","0.38587472910019094","Infinity","0.8488","10.34779466827628","8.061309889682564","0.3893619348483699","Infinity","8.359334362466633","3.0527883226012347","9.576668187485984","0.3678415565356612","0.72","7.543099812756292"
"gallant-darkness-218","true","true","0.999","10000","SEQRND","0.8228","0.3524983472123742","4.462611193927079","9.619247841805183","0.62","0.3798466205750553","Infinity","0.8462","10.054845363196872","10.82739440867208","0.3842176108840638","Infinity","8.016828863093258","5.454407158438306","9.309837585374018","0.3610317216351629","0.62","7.256114290412702"
"dashing-hill-17","true","true","0.999","10000","PARALL","0.8228","0.35246566841751337","4.462611193927079","9.619247841805183","0.62","0.3798228934935789","Infinity","0.8462","10.054154345200851","10.82739440867208","0.3842253155638166","Infinity","8.01592391962558","5.454407158438306","9.30904694770664","0.3610478250518442","0.62","7.255534133856557"
"dry-totem-278","true","true","0.999","10000","SEQFIX","0.8228","0.35251799020022156","4.4049590329884225","9.474874755743077","0.62","0.37984217899161254","Infinity","0.8462","10.055458949551026","10.82739440867208","0.38427792202984745","Infinity","8.017120272097737","5.454407158438306","9.310128673226874","0.3611009885564446","0.62","7.256647166928463"
"curious-cherry-219","true","true","0.5","10000","PARALL","0.8518","0.35993471913635733","2.689581220242999","7.34428166515958","0.74","0.3864471408197776","Infinity","0.846","10.350022690050112","8.034148640985203","0.386424665993039","Infinity","8.363761548663676","3.029050654943613","9.507342536898372","0.36449925886541606","0.72","7.474514527131431"
